year,country,vessel_number,vessel_name,cruise_number,area_code,geographic_area_name,council_sablefish_management_area,species_code,common_name,sex,length,rpn,rpw,last_modified_date,akfin_load_date
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,50,24.4198138649079,14.418876146958153,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,51,20.225788135469443,12.48104237374265,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,52,5.724914906012346,3.212719193649781,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,56,5.724914906012346,3.212719193649781,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,59,8.582004891160832,4.965635766437048,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,60,2.8570899851484866,1.7529165727872669,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,62,3.519261054037451,1.9202765169335883,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,21,9.326641237989454,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,23,35.6927340355342,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,24,9.326641237989454,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,25,51.23713609884996,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,26,117.273155680422,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,27,150.90367882780944,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,28,180.60451454284635,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,29,222.27690370739379,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,30,195.51796810706196,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,31,260.29933158156894,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,32,278.39296308210277,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,33,319.12242875117886,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,34,372.4659657851694,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,35,379.3944890637642,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,36,324.4028900248733,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,37,311.0026496676526,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,38,256.07944417565574,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,39,229.3847199716715,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,40,189.41885029191116,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,47,Ommaney Trench,East Yakutat/Southeast,30020,Shortspine thornyhead,3,41,212.0724951324652,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,21,0.39720987624566145,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
