species_code,year,length,frequency,fmp_subarea,source
350,2010,28,1,AI,AI fishery
350,2010,29,1,AI,AI fishery
350,2010,26,1,AI,AI fishery
350,2010,33,1,AI,AI fishery
350,2010,34,1,AI,AI fishery
350,2010,36,1,AI,AI fishery
350,2011,32,1,EBS,EBS fishery
350,2011,36,1,EBS,EBS fishery
350,2011,40,1,EBS,EBS fishery
350,2011,41,2,EBS,EBS fishery
350,2011,43,1,EBS,EBS fishery
350,2011,44,1,EBS,EBS fishery
350,2011,45,2,EBS,EBS fishery
350,2011,46,1,EBS,EBS fishery
350,2011,37,1,EBS,EBS fishery
350,2011,38,1,EBS,EBS fishery
350,2011,39,1,EBS,EBS fishery
350,2011,41,1,EBS,EBS fishery
350,2011,42,1,EBS,EBS fishery
350,2011,43,2,EBS,EBS fishery
350,2011,44,1,EBS,EBS fishery
350,2011,48,1,EBS,EBS fishery
350,2011,41,2,EBS,EBS fishery
350,2011,43,4,EBS,EBS fishery
350,2011,32,1,EBS,EBS fishery
350,2011,38,1,EBS,EBS fishery
350,2011,39,2,EBS,EBS fishery
350,2011,40,2,EBS,EBS fishery
350,2011,41,2,EBS,EBS fishery
350,2011,43,2,EBS,EBS fishery
350,2011,29,1,EBS,EBS fishery
350,2011,40,2,EBS,EBS fishery
350,2011,42,2,EBS,EBS fishery
350,2011,44,2,EBS,EBS fishery
350,2011,45,3,EBS,EBS fishery
350,2011,46,1,EBS,EBS fishery
350,2011,47,1,EBS,EBS fishery
350,2011,37,1,EBS,EBS fishery
350,2011,39,1,EBS,EBS fishery
350,2011,42,5,EBS,EBS fishery
350,2011,43,1,EBS,EBS fishery
350,2011,44,1,EBS,EBS fishery
350,2012,38,1,EBS,EBS fishery
350,2012,45,1,EBS,EBS fishery
350,2012,36,1,EBS,EBS fishery
350,2012,38,1,EBS,EBS fishery
350,2012,44,1,EBS,EBS fishery
350,2012,45,1,EBS,EBS fishery
350,2012,59,1,EBS,EBS fishery
350,2012,29,1,EBS,EBS fishery
350,2012,41,1,EBS,EBS fishery
350,2012,30,1,EBS,EBS fishery
350,2012,44,1,EBS,EBS fishery
350,2012,46,1,EBS,EBS fishery
350,2012,47,1,EBS,EBS fishery
350,2012,48,2,EBS,EBS fishery
350,2012,49,1,EBS,EBS fishery
350,2012,50,1,EBS,EBS fishery
350,2008,40,1,EBS,EBS fishery
350,2008,46,1,EBS,EBS fishery
350,2008,49,1,EBS,EBS fishery
350,2008,32,1,EBS,EBS fishery
350,2008,40,1,EBS,EBS fishery
350,2008,42,1,EBS,EBS fishery
350,2008,50,1,EBS,EBS fishery
350,2012,40,1,EBS,EBS fishery
350,2012,44,2,EBS,EBS fishery
350,2012,45,1,EBS,EBS fishery
350,2012,46,1,EBS,EBS fishery
350,2012,49,3,EBS,EBS fishery
350,2012,50,2,EBS,EBS fishery
350,2012,51,1,EBS,EBS fishery
350,2012,53,1,EBS,EBS fishery
350,2012,42,1,EBS,EBS fishery
350,2009,43,1,AI,AI fishery
350,2009,32,1,AI,AI fishery
350,2009,34,2,AI,AI fishery
350,2009,53,1,AI,AI fishery
350,2009,53,1,AI,AI fishery
350,2009,37,1,AI,AI fishery
350,2009,42,1,AI,AI fishery
350,2009,41,1,AI,AI fishery
350,2009,43,1,AI,AI fishery
350,2009,44,1,AI,AI fishery
350,2009,42,1,AI,AI fishery
350,2009,37,1,AI,AI fishery
350,2009,39,1,AI,AI fishery
350,2009,40,1,AI,AI fishery
350,2009,44,1,AI,AI fishery
350,2009,48,1,AI,AI fishery
350,2009,48,1,AI,AI fishery
350,2009,35,1,AI,AI fishery
350,2009,34,1,AI,AI fishery
350,2009,48,2,AI,AI fishery
350,2009,47,1,AI,AI fishery
